"","Name","code","individual","day","experiment","treatment","planed_treatment","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5"
"X5.8","X5.8","exp5.8",5,8,"experiment","light","light",2696.40050813357,6.72419079335054,11.2380367526956,0.113359134580452,0.13300767573464,0.197897139916354,0.31069228462496,0.276846579486129,0.385599629499781,21.3900215075899,0.226359053791096,0.0466987270567203,822.530070144657,10.7126498685025,-0.42338002024027,1.59315078910255,0.577988924813605,0.0743981138604986,696,356,501,0.716515062791313,301
"X6.8","X6.8","exp6.8",6,8,"experiment","light","light",3573.87537384926,8.91240741608295,12.3107973520369,0.181569920550577,0.209692673251896,0.234927651848691,0.274245248170552,0.235909419127558,0.316782096735733,2.79789149963758,0.172243502561686,0.0435930972397101,563.45202230967,7.91077063419186,-0.211104905776539,0.887613218838764,0.388966086967651,0.0386938093600903,700,356,502,0.686445289435802,301
"X7.8","X7.8","exp7.8",7,8,"experiment","dark","dark",1804.75028731875,4.50062415790213,8.08929537675429,0.154967140789827,0.177431184965001,0.205466781956419,0.273253010092557,0.244637451183449,0.373462225399142,4.12760041303112,0.213030105171884,0.0209158498575901,433.992099158989,6.12948954108865,-0.0485319555929169,1.3619198862288,0.592169514173272,0.0284857118584277,700,356,557,0.534891427350163,300
"X8.8","X8.8","exp8.8",8,8,"experiment","natural","natural",1825.60294368129,4.55262579471644,8.24592379231852,0.137443262147221,0.157854318621533,0.186247884054193,0.289897558094568,0.263410656950968,0.39362748757909,4.75183683648556,0.221499751869596,0.0122388292467601,531.614832039139,6.51061088573792,-0.209477384227266,1.43007819647594,0.639612716505906,0.0175024828561837,700,380,540,0.559253723297454,300
"X9.8","X9.8","exp9.8",9,8,"experiment","light","light",2659.42688991875,6.63198725665524,10.7731108265523,0.121816976644241,0.141704444170524,0.205004139788302,0.308278127268894,0.265678566401652,0.372431008010684,8.51606065709446,0.20390765060926,0.04764365278688,759.040342039916,9.50807629235396,-0.433243591769049,1.4336692644897,0.560427914737108,0.0683052406485687,700,356,493,0.741109347771234,303
"X10.8","X10.8","exp10.8",10,8,"experiment","natural","natural",1823.21345783258,4.54666697713861,6.7590684349255,0.185812736601153,0.213417874557724,0.231103609782033,0.264201048861399,0.225888073838033,0.32620283310485,2.4105481685574,0.18197270070805,0.0161999930033101,290.413623563003,3.95511349924359,0.0149506535844293,0.869892938966182,0.44415380885486,0.014092259524881,700,345,547,0.570677925164761,300
"X11.8","X11.8","exp11.8",11,8,"experiment","natural","natural",1293.5090959998,3.22570846882743,4.99109526974546,0.173421548943744,0.197282137322446,0.20744199880004,0.282412415100408,0.24649748658567,0.344000172376117,2.91943079906534,0.189593286194522,0.01438258343889,271.163197547094,3.28148280989768,-0.165272819579803,1.01729057092705,0.531044841445321,0.0146312665179543,700,380,526,0.574865200964099,300
"X12.8","X12.8","exp12.8",12,8,"experiment","light","light",3222.72581582905,8.03672273274077,11.7301186406487,0.153394212403189,0.178727437622659,0.225685969636413,0.289262358122947,0.250342226650844,0.339236293569692,4.01668253214035,0.183677603681746,0.03401623470383,678.398708395262,8.80976868847109,-0.327851642880088,1.09618920316624,0.443186970580775,0.0372882292147071,700,356,493,0.743290145683214,300
"X13.8","X13.8","exp13.8",13,8,"experiment","dark","dark",1645.81624668246,4.10427991691387,7.09875066718367,0.13455293342284,0.156323071849723,0.19764707410741,0.291110371962543,0.261211228224825,0.38410382206528,5.64865645123446,0.21348446779402,0.0256222531914099,457.886090734124,5.84203577781696,-0.277616598881343,1.4234009122384,0.589125652787783,0.0364707385662561,700,356,523,0.61479829840795,300
"X14.8","X14.8","exp14.8",14,8,"experiment","dark","dark",1837.71566036148,4.58283207072689,6.51726892819591,0.163231263512716,0.18850641509932,0.229106669629333,0.288330077064433,0.243542431117808,0.32681895471049,2.80628732190657,0.177755492983245,0.0112925887339195,353.826037081014,4.19488772463186,-0.270493452608282,0.915348339169344,0.42546803831216,0.0103366523425156,700,618,500,0.762988640608951,300
"X15.8","X15.8","exp15.8",15,8,"experiment","dark","dark",2501.93955124312,6.23925075122972,11.0884785151845,0.157544369541847,0.181023315581769,0.196794275092763,0.272439756871705,0.244592141620937,0.380398948962899,3.36198754130442,0.215257277634667,0.0187155343360406,628.972354138002,7.79028707962603,-0.0259275770422332,1.24859336324808,0.608547967292507,0.0233680919616218,700,357,563,0.490971529933173,518
"X16.8","X16.8","exp16.8",16,8,"experiment","natural","natural",1309.77352890852,3.26626815189156,6.02946168250825,0.110412423603166,0.127983428059913,0.181007732838595,0.307995901561023,0.281080467587116,0.407961805418894,10.2607849698775,0.226616282311153,0.0137612494121999,438.114726914335,5.44183980950254,-0.369133542999085,1.6660725808293,0.656430710215003,0.0229272403236197,700,618,521,0.638046893999401,300
"X17.8","X17.8","exp17.8",17,8,"experiment","light","light",3050.87798361124,7.6081745227213,12.5572549721577,0.121746062841566,0.143676408984387,0.209370355089089,0.303493791151883,0.268845789803508,0.372916819595138,6.639829602639,0.205080472552975,0.0337475937676999,844.791287326047,10.6660535824162,-0.347647443512427,1.40192020445414,0.540475362368472,0.0473114335546489,700,618,509,0.735190138892434,300
