wl;1;2;3;4;5;6
310,37;0,2;0,09;-0,27;0,09;-0,19;0,04
310,842;0,16;0,09;-0,24;0,09;-0,2;0
311,314;0,18;0,1;-0,15;0,14;-0,22;-0,01
311,786;0,25;0,12;-0,12;0,2;-0,22;-0,01
312,258;0,3;0,13;-0,11;0,24;-0,22;-0,02
312,731;0,39;0,14;-0,08;0,31;-0,16;0,03
313,203;0,46;0,11;-0,02;0,3;-0,13;0,04
313,675;0,51;0,16;0,13;0,35;-0,13;0,12
314,147;0,51;0,19;0,19;0,45;-0,15;0,21
314,619;0,54;0,2;0,25;0,53;-0,23;0,26
315,091;0,62;0,24;0,29;0,59;-0,24;0,28
315,563;0,69;0,31;0,35;0,65;-0,17;0,33
316,035;0,74;0,34;0,37;0,67;-0,15;0,36
316,507;0,82;0,4;0,44;0,73;-0,09;0,37
316,979;0,89;0,46;0,52;0,73;-0,03;0,46
317,451;0,84;0,4;0,49;0,65;-0,02;0,5
317,922;0,7;0,31;0,43;0,6;-0,09;0,47
318,394;0,64;0,33;0,38;0,58;-0,11;0,52
318,866;0,58;0,31;0,31;0,55;-0,1;0,47
319,338;0,56;0,28;0,29;0,5;-0,03;0,39
319,81;0,55;0,32;0,26;0,42;0,01;0,31
320,281;0,5;0,3;0,19;0,39;0,03;0,3
320,753;0,51;0,25;0,14;0,38;0,02;0,32
321,225;0,52;0,23;0,11;0,4;0,01;0,31
321,697;0,48;0,19;0,06;0,38;-0,03;0,31
322,168;0,42;0,16;0,01;0,38;-0,07;0,34
322,64;0,46;0,19;0,04;0,44;-0,06;0,34
323,111;0,6;0,23;0,12;0,48;0,01;0,27
323,583;0,62;0,22;0,07;0,49;0,01;0,22
324,054;0,54;0,15;-0,01;0,42;-0,05;0,17
324,526;0,55;0,12;-0,03;0,38;-0,15;0,16
324,998;0,61;0,2;0,04;0,49;-0,12;0,28
325,469;0,61;0,29;0,12;0,53;-0,09;0,3
325,94;0,53;0,28;0,11;0,53;-0,12;0,23
326,412;0,48;0,26;0,07;0,51;-0,15;0,22
326,883;0,49;0,24;0,01;0,45;-0,11;0,28
327,355;0,57;0,27;0,07;0,47;-0,06;0,27
327,826;0,62;0,33;0,14;0,44;-0,04;0,26
328,297;0,64;0,38;0,23;0,46;0,02;0,28
328,769;0,71;0,51;0,34;0,54;0,13;0,35
329,24;0,79;0,6;0,4;0,6;0,16;0,38
329,711;0,81;0,6;0,39;0,6;0,17;0,33
330,182;0,75;0,55;0,31;0,5;0,16;0,27
330,654;0,71;0,48;0,22;0,45;0,12;0,3
331,125;0,75;0,47;0,25;0,48;0,11;0,39
331,596;0,81;0,51;0,31;0,53;0,21;0,48
332,067;0,82;0,52;0,34;0,57;0,21;0,43
332,538;0,73;0,45;0,28;0,5;0,12;0,3
333,009;0,61;0,37;0,15;0,41;0,05;0,24
333,48;0,54;0,26;0,1;0,35;-0,01;0,25
333,951;0,53;0,16;0,14;0,33;-0,02;0,2
334,422;0,54;0,14;0,12;0,23;0,03;0,17
334,893;0,57;0,19;0,17;0,22;0,1;0,23
335,364;0,54;0,24;0,22;0,25;0,09;0,19
335,835;0,58;0,28;0,28;0,22;0,06;0,11
336,306;0,56;0,29;0,28;0,16;0,05;0,06
336,777;0,45;0,26;0,22;0,08;-0,06;-0,07
337,248;0,39;0,25;0,16;0,05;-0,1;-0,15
337,719;0,42;0,32;0,18;0,11;-0,06;-0,12
338,189;0,38;0,39;0,21;0,18;0,01;-0,05
338,66;0,28;0,45;0,22;0,18;0,02;-0,03
339,131;0,24;0,43;0,24;0,17;0,01;-0,09
339,602;0,21;0,4;0,26;0,25;0,02;-0,05
340,072;0,16;0,35;0,21;0,3;0,01;-0,04
340,543;0,19;0,26;0,17;0,32;-0,03;-0,09
341,014;0,2;0,25;0,14;0,35;-0,07;-0,04
341,484;0,24;0,22;0,09;0,35;-0,06;0,03
341,955;0,33;0,16;0,14;0,36;-0,02;0,07
342,426;0,4;0,11;0,17;0,37;-0,04;0,12
342,896;0,41;0,06;0,16;0,41;-0,06;0,14
343,367;0,5;0,04;0,18;0,47;-0,07;0,13
343,837;0,61;-0,02;0,15;0,44;-0,09;0,07
344,308;0,65;-0,01;0,1;0,41;-0,11;0,12
344,778;0,63;0;0,05;0,37;-0,1;0,17
345,249;0,61;-0,07;-0,01;0,28;-0,18;0,18
345,719;0,61;-0,09;0,02;0,26;-0,15;0,17
346,189;0,62;-0,05;0,07;0,29;-0,05;0,22
346,66;0,61;0,02;0,1;0,35;-0,06;0,22
347,13;0,56;0,06;0,03;0,36;-0,1;0,21
347,6;0,48;0,13;-0,07;0,31;-0,11;0,22
348,071;0,41;0,14;-0,12;0,19;-0,18;0,22
348,541;0,35;0,06;-0,14;0,16;-0,27;0,17
349,011;0,27;0,05;-0,26;0,21;-0,36;0,14
349,481;0,21;0,08;-0,31;0,25;-0,4;0,1
349,952;0,22;0,1;-0,28;0,3;-0,41;-0,04
350,422;0,23;0,19;-0,29;0,33;-0,36;-0,07
350,892;0,21;0,26;-0,31;0,32;-0,36;0,02
351,362;0,2;0,25;-0,31;0,31;-0,38;0
351,832;0,17;0,12;-0,37;0,19;-0,48;-0,12
352,302;0,16;0,05;-0,34;0,17;-0,43;-0,15
352,772;0,19;0,05;-0,19;0,25;-0,34;-0,12
353,242;0,28;0,05;-0,07;0,34;-0,29;-0,09
353,712;0,39;0,12;0,02;0,35;-0,19;-0,09
354,182;0,43;0,2;0,16;0,35;-0,02;0,05
354,652;0,41;0,18;0,18;0,32;0,01;0,14
355,122;0,44;0,16;0,18;0,32;0,05;0,23
355,592;0,45;0,21;0,27;0,37;0,12;0,32
356,062;0,35;0,17;0,27;0,36;0,14;0,3
356,532;0,3;0,08;0,24;0,36;0,14;0,2
357,001;0,38;0,22;0,35;0,49;0,3;0,29
357,471;0,37;0,25;0,38;0,52;0,26;0,3
357,941;0,37;0,25;0,38;0,54;0,2;0,27
358,411;0,43;0,36;0,43;0,62;0,24;0,37
358,88;0,38;0,36;0,46;0,64;0,27;0,51
359,35;0,37;0,34;0,47;0,62;0,25;0,53
359,82;0,5;0,36;0,5;0,64;0,27;0,57
360,289;0,55;0,41;0,55;0,74;0,35;0,66
360,759;0,56;0,42;0,53;0,79;0,36;0,68
361,229;0,64;0,36;0,5;0,8;0,3;0,73
361,698;0,73;0,34;0,51;0,83;0,28;0,86
362,168;0,76;0,32;0,53;0,85;0,29;0,96
362,637;0,82;0,39;0,58;0,9;0,37;1,02
363,107;0,89;0,38;0,53;0,89;0,41;0,98
363,576;0,86;0,4;0,38;0,82;0,42;0,89
364,046;0,82;0,42;0,26;0,79;0,37;0,8
364,515;0,84;0,38;0,19;0,79;0,28;0,7
364,984;0,8;0,4;0,09;0,76;0,21;0,64
365,454;0,72;0,41;0,02;0,65;0,09;0,62
365,923;0,74;0,38;0,03;0,66;0,03;0,54
366,392;0,84;0,48;0,11;0,73;0,11;0,52
366,862;0,81;0,54;0,14;0,7;0,15;0,48
367,331;0,75;0,54;0,07;0,71;0,13;0,4
367,8;0,76;0,55;-0,01;0,68;0,04;0,4
368,269;0,77;0,63;0,06;0,67;-0,03;0,49
368,739;0,77;0,63;0,18;0,68;0,02;0,6
369,208;0,82;0,57;0,18;0,62;0,03;0,57
369,677;0,87;0,59;0,22;0,65;0,05;0,58
370,146;0,85;0,65;0,38;0,74;0,16;0,7
370,615;0,84;0,62;0,43;0,8;0,14;0,69
371,084;0,85;0,69;0,48;0,73;0,14;0,68
371,553;0,79;0,66;0,41;0,61;0,1;0,63
372,022;0,73;0,61;0,33;0,56;-0,03;0,57
372,491;0,66;0,55;0,32;0,5;-0,12;0,44
372,96;0,58;0,51;0,3;0,48;-0,13;0,38
373,429;0,48;0,42;0,28;0,45;-0,09;0,35
373,898;0,41;0,31;0,25;0,44;-0,22;0,21
374,367;0,32;0,27;0,2;0,39;-0,33;0,21
374,836;0,2;0,27;0,17;0,37;-0,33;0,25
375,305;0,16;0,21;0,13;0,32;-0,42;0,12
375,773;0,25;0,24;0,09;0,33;-0,4;0,07
376,242;0,25;0,22;0,07;0,36;-0,38;0,09
376,711;0,26;0,32;0,17;0,47;-0,36;0,16
377,18;0,36;0,44;0,23;0,52;-0,36;0,2
377,648;0,47;0,47;0,29;0,59;-0,31;0,27
378,117;0,52;0,51;0,31;0,65;-0,21;0,35
378,586;0,48;0,49;0,23;0,67;-0,22;0,32
379,054;0,49;0,54;0,27;0,69;-0,17;0,3
379,523;0,59;0,69;0,39;0,8;-0,02;0,37
379,992;0,65;0,71;0,4;0,79;0,03;0,37
380,46;0,68;0,69;0,34;0,81;0,11;0,35
380,929;0,64;0,67;0,3;0,75;0,16;0,4
381,397;0,62;0,66;0,3;0,76;0,16;0,48
381,866;0,63;0,64;0,32;0,77;0,16;0,47
382,334;0,64;0,64;0,34;0,8;0,22;0,5
382,803;0,58;0,66;0,34;0,79;0,22;0,55
383,271;0,58;0,6;0,35;0,77;0,12;0,48
383,739;0,63;0,59;0,38;0,72;0,06;0,48
384,208;0,64;0,54;0,33;0,65;-0,01;0,53
384,676;0,57;0,42;0,27;0,6;-0,08;0,48
385,144;0,59;0,42;0,28;0,6;-0,15;0,48
