ID,patch1,patch2,dS,dL,group,treatment,individual,day
537,dark,exp6.7,2.644336242,31.8905761,experiment,light,6,7
97,natural,exp7.7,2.292456158,14.8227846,experiment,dark,7,7
318,light,exp7.7,3.641577241,5.3576906,experiment,dark,7,7
538,dark,exp7.7,3.291727189,30.0400121,experiment,dark,7,7
98,natural,exp8.7,1.977460452,15.4034765,experiment,natural,8,7
319,light,exp8.7,2.940373056,4.7769986,experiment,natural,8,7
539,dark,exp8.7,3.363193581,30.6207041,experiment,natural,8,7
99,natural,exp9.7,3.109338695,13.2512016,experiment,light,9,7
320,light,exp9.7,4.593779488,6.9292735,experiment,light,9,7
540,dark,exp9.7,3.6592819,28.4684291,experiment,light,9,7
100,natural,exp10.7,0.748526307,11.4677102,experiment,natural,10,7
321,light,exp10.7,1.696631823,8.7127649,experiment,natural,10,7
541,dark,exp10.7,2.243315843,26.6849377,experiment,natural,10,7
101,natural,exp11.7,3.320114408,12.2433679,experiment,natural,11,7
322,light,exp11.7,4.762846781,7.9371072,experiment,natural,11,7
542,dark,exp11.7,3.962048501,27.4605954,experiment,natural,11,7
102,natural,exp12.7,1.579833489,15.435927,experiment,light,12,7
323,light,exp12.7,2.70981649,4.7445481,experiment,light,12,7
543,dark,exp12.7,2.920858238,30.6531545,experiment,light,12,7
103,natural,exp13.7,1.725744831,12.8913826,experiment,dark,13,7
324,light,exp13.7,3.016810647,7.2890925,experiment,dark,13,7
544,dark,exp13.7,2.868211237,28.1086102,experiment,dark,13,7
104,natural,exp14.7,1.261819977,10.0086326,experiment,dark,14,7
325,light,exp14.7,2.620250609,10.1718425,experiment,dark,14,7
545,dark,exp14.7,2.378225155,25.2258601,experiment,dark,14,7
105,natural,exp15.7,5.833122478,10.8308957,experiment,dark,15,7
326,light,exp15.7,7.362961559,9.3495794,experiment,dark,15,7
546,dark,exp15.7,6.038926448,26.0481232,experiment,dark,15,7
106,natural,exp16.7,3.753362023,8.0041296,experiment,natural,16,7
327,light,exp16.7,5.282819073,12.1763455,experiment,natural,16,7
547,dark,exp16.7,4.025903134,23.2213571,experiment,natural,16,7
107,natural,exp17.7,2.711247267,16.1996363,experiment,light,17,7
328,light,exp17.7,4.195601992,3.9808388,experiment,light,17,7
548,dark,exp17.7,3.285080373,31.4168638,experiment,light,17,7
108,natural,exp18.7,1.809201592,6.8386438,experiment,dark,18,7
329,light,exp18.7,3.176789307,13.3418313,experiment,dark,18,7
549,dark,exp18.7,2.879110489,22.0558713,experiment,dark,18,7
109,natural,exp19.7,2.447125823,11.9109217,experiment,dark,19,7
330,light,exp19.7,3.862035063,8.2695534,experiment,dark,19,7
550,dark,exp19.7,3.258433978,27.1281492,experiment,dark,19,7
110,natural,exp20.7,3.191845282,6.7912165,experiment,natural,20,7
331,light,exp20.7,4.611516502,13.3892586,experiment,natural,20,7
551,dark,exp20.7,3.936764876,22.008444,experiment,natural,20,7
111,natural,exp21.7,4.519808886,14.8233866,experiment,natural,21,7
332,light,exp21.7,5.968712763,5.3570885,experiment,natural,21,7
552,dark,exp21.7,5.102968907,30.0406142,experiment,natural,21,7
112,natural,exp22.7,4.260996795,10.5519031,experiment,dark,22,7
333,light,exp22.7,5.739017935,9.628572,experiment,dark,22,7
553,dark,exp22.7,4.757074703,25.7691306,experiment,dark,22,7
113,natural,exp1.8,2.807333464,16.1659291,experiment,light,1,8
334,light,exp1.8,4.245563109,4.014546,experiment,light,1,8
554,dark,exp1.8,3.566368686,31.3831567,experiment,light,1,8
114,natural,exp2.8,1.153940955,6.777793,experiment,dark,2,8
335,light,exp2.8,2.484728799,13.4026821,experiment,dark,2,8
555,dark,exp2.8,2.308780382,21.9950205,experiment,dark,2,8
115,natural,exp3.8,2.002081937,16.4475795,experiment,light,3,8
336,light,exp3.8,3.337041451,3.7328956,experiment,light,3,8
556,dark,exp3.8,3.031063139,31.664807,experiment,light,3,8
116,natural,exp4.8,3.119035344,11.9893293,experiment,light,4,8
337,light,exp4.8,4.597111436,8.1911458,experiment,light,4,8
557,dark,exp4.8,3.678033861,27.2065568,experiment,light,4,8
117,natural,exp5.8,3.945438005,15.0027912,experiment,light,5,8
338,light,exp5.8,5.470042326,5.1776839,experiment,light,5,8
558,dark,exp5.8,4.245910719,30.2200188,experiment,light,5,8
118,natural,exp6.8,1.271664099,15.9895242,experiment,light,6,8
339,light,exp6.8,2.621818568,4.1909509,experiment,light,6,8
559,dark,exp6.8,2.439527736,31.2067518,experiment,light,6,8
119,natural,exp7.8,2.562856971,9.9989166,experiment,dark,7,8
340,light,exp7.8,3.988714303,10.1815585,experiment,dark,7,8
560,dark,exp7.8,3.401083921,25.2161441,experiment,dark,7,8
120,natural,exp8.8,3.749278691,10.830493,experiment,natural,8,8
341,light,exp8.8,5.192394183,9.3499821,experiment,natural,8,8
561,dark,exp8.8,4.379561356,26.0477205,experiment,natural,8,8
121,natural,exp9.8,3.390359112,14.3910397,experiment,light,9,8
342,light,exp9.8,4.905440218,5.7894354,experiment,light,9,8
562,dark,exp9.8,3.685692764,29.6082673,experiment,light,9,8
122,natural,exp10.8,1.228557728,9.0580382,experiment,natural,10,8
343,light,exp10.8,2.530428074,11.1224369,experiment,natural,10,8
563,dark,exp10.8,2.474750879,24.2752657,experiment,natural,10,8
123,natural,exp11.8,2.306800901,6.4041373,experiment,natural,11,8
344,light,exp11.8,3.613643947,13.7763378,experiment,natural,11,8
