"patch1","patch2","dS","dL"
"dark","habit21.1",1.86935544608467,25.3496047
"dark","habit22.1",2.1477045525771,21.0740621
"dark","habit1.2",2.90730305477698,21.8439064
"dark","habit2.2",2.19663835256422,16.331904
"dark","habit3.2",2.49932545547387,22.5657476
"dark","habit4.2",2.49660894904674,20.9915212
"dark","habit5.2",3.60015655481443,24.9038325
"dark","habit6.2",3.15676286427159,25.1061137
"dark","habit7.2",3.43632802758741,25.2656079
"dark","habit8.2",3.90505882070675,26.2422342
"dark","habit9.2",2.47132832275716,20.0994383
"dark","habit10.2",2.93678703745633,22.1603225
"dark","habit11.2",3.62200145573844,16.4803699
"dark","habit12.2",2.80593645341401,21.5682721
"dark","habit13.2",3.28768473134508,22.7084933
"dark","habit14.2",2.4545071556349,16.7853646
"dark","habit15.2",5.28702593674975,24.1544405
"dark","habit16.2",2.65417319419496,23.4751748
"dark","habit17.2",3.63138576454214,32.7022676
"dark","habit18.2",5.45608623848756,18.8700377
"dark","habit19.2",3.83441886679854,19.2092619
"dark","habit20.2",3.02095375648439,23.8700519
"dark","habit21.2",3.83344067332576,26.8926072
"dark","habit22.2",3.76067772455881,26.6428836
"dark","habit1.3",2.8556229734526,25.5525341
"dark","habit2.3",2.37380240796679,24.1309815
"dark","habit3.3",2.58439940951171,33.2736047
"dark","habit4.3",2.63827197065346,28.9689409
"dark","habit5.3",3.42912923773169,25.3720234
"dark","habit6.3",3.26835938276885,26.3870812
"dark","habit7.3",2.76864427275931,24.1069676
"dark","habit8.3",2.85630710150073,24.9939114
"dark","habit9.3",3.04556206555388,18.9997673
"dark","habit10.3",2.84555428945939,24.7423015
"dark","habit11.3",3.22304007455591,23.8678346
"dark","habit12.3",3.1463080706598,28.6923501
"dark","habit13.3",4.4322968525716,22.819627
"dark","habit14.3",2.99207652555509,21.6355068
"dark","habit15.3",3.70447581711368,27.2593454
"dark","habit16.3",4.5910602054745,26.1776146
"dark","habit17.3",2.77415465559674,32.5125428
"dark","habit18.3",3.61074965720602,25.6893878
"dark","habit19.3",3.27555314193415,27.087075
"dark","habit20.3",3.75771993027477,23.5752155
"dark","habit21.3",2.9583975233905,27.0030242
"dark","habit22.3",3.86134704913457,25.3292844
"dark","habit1.4",3.5446277208443,26.3971122
"dark","habit2.4",2.41140786323184,22.3945799
"dark","habit3.4",2.8045281594353,26.4113436
"dark","habit4.4",3.98272198258026,21.4948024
"dark","habit5.4",3.29433224650217,26.496605
"dark","habit6.4",3.24472398003803,26.875861
"dark","habit7.4",2.78628086803224,24.5672107
"dark","habit8.4",3.52403750020544,27.9332748
"dark","habit9.4",3.6924596264783,25.889873
"dark","habit10.4",2.88494876345474,23.6588145
"dark","habit11.4",2.97980361836212,22.0808583
"dark","habit12.4",3.63371903017863,28.1030685
"dark","habit13.4",2.90069595028792,28.4779346
"dark","habit14.4",2.99456535318449,23.8373835
"dark","habit15.4",5.16749666556919,26.5152414
"dark","habit16.4",3.16989735694804,25.9732739
"dark","habit17.4",2.5031364032751,26.8318468
"dark","habit18.4",4.11059745498649,24.8916585
"dark","habit19.4",4.00714374693293,25.819363
"dark","habit20.4",3.98019140733646,27.4432624
"dark","habit21.4",4.30595409456866,29.4323385
"dark","habit22.4",3.07782683284677,30.5198978
"dark","exp1.7",3.97741548052466,28.639499
"dark","exp2.7",2.82495458826348,20.8974921
"dark","exp3.7",3.82997120174351,32.741021
"dark","exp4.7",3.84072412247397,29.1642554
"dark","exp5.7",2.66404799082789,36.6656906
"dark","exp6.7",2.64433624150289,31.8905761
"dark","exp7.7",3.29172718891856,30.0400121
"dark","exp8.7",3.36319358126732,30.6207041
"dark","exp9.7",3.65928190028564,28.4684291
"dark","exp10.7",2.24331584272653,26.6849377
"dark","exp11.7",3.96204850086501,27.4605954
"dark","exp12.7",2.92085823839625,30.6531545
"dark","exp13.7",2.86821123737505,28.1086102
"dark","exp14.7",2.37822515455831,25.2258601
"dark","exp15.7",6.03892644819066,26.0481232
"dark","exp16.7",4.02590313350046,23.2213571
"dark","exp17.7",3.28508037293962,31.4168638
"dark","exp18.7",2.87911048918786,22.0558713
"dark","exp19.7",3.25843397801418,27.1281492
"dark","exp20.7",3.93676487575736,22.008444
"dark","exp21.7",5.10296890685119,30.0406142
"dark","exp22.7",4.75707470321129,25.7691306
"dark","exp1.8",3.56636868632857,31.3831567
"dark","exp2.8",2.30878038180572,21.9950205
"dark","exp3.8",3.03106313882552,31.664807
"dark","exp4.8",3.67803386057381,27.2065568
"dark","exp5.8",4.24591071877609,30.2200188
"dark","exp6.8",2.43952773556673,31.2067518
"dark","exp7.8",3.40108392109305,25.2161441
"dark","exp8.8",4.37956135602997,26.0477205
"dark","exp9.8",3.68569276379437,29.6082673
"dark","exp10.8",2.47475087862024,24.2752657
"dark","exp11.8",3.29150652323822,21.6213648
"dark","exp12.8",2.75621963270549,30.8319089
"dark","exp13.8",3.99905531142113,24.8880823
"dark","exp14.8",2.43651474442982,24.8154384
"dark","exp15.8",3.82046746093954,28.6206787
"dark","exp16.8",4.94363069372654,23.2973175
"dark","exp17.8",3.74934519543588,31.0791952
"dark","exp18.8",6.21052391069298,14.7223373
"dark","exp19.8",2.86960148344234,22.1854654
"dark","exp20.8",4.23496486125757,25.6605347
"dark","exp21.8",3.70951186402446,26.7838574
"dark","exp22.8",5.31098838752963,26.825423
"dark","exp1.9",4.37141212145745,32.5111459
"dark","exp2.9",2.43482325949059,18.1997408
"dark","exp3.9",3.79383039182443,30.4826309
"dark","exp4.9",3.50498318558973,29.5200877
"dark","exp5.9",4.54825987502134,26.6950497
"dark","exp6.9",4.54658884035311,29.6621241
"dark","exp7.9",3.72404443802256,23.5490014
"dark","exp8.9",4.87097291915103,26.8744982
"dark","exp9.9",3.47196661102491,26.749625
"dark","exp10.9",2.58544435004296,26.838137
"dark","exp11.9",2.71498720910281,21.9837392
"dark","exp12.9",3.77634450940062,28.108592
"dark","exp13.9",2.82650227261847,26.7578694
"dark","exp14.9",2.20107182160764,19.7640172
"dark","exp15.9",3.8782136149942,26.3654138
"dark","exp16.9",3.92556679736891,24.4404743
"dark","exp17.9",2.77581639225784,32.6943593
