"wl","X1.14","X2.14","X3.14","X4.14","X5.14","X6.14","X7.14","X8.14","X9.14","X10.14","X11.14","X12.14","X13.14","X14.14","X15.14","X16.14","X17.14","X18.14","X19.14","X20.14","X21.14","X22.14"
399,2.33511443387789,2.55466266744622,3.5895942200419,2.17167589428851,2.44672024030343,3.78638015985479,1.26298412594531,1.65491473502874,1.54962870336674,3.2493168075927,2.28794680880004,2.28430592617799,1.40860303352594,1.09551915097836,1.07390744173026,1.89144486441831,2.13976563449885,1.40792565036326,1.30275336262961,1.97774542627052,2.12425055985611,6.00988202215123
400,2.34995195144906,2.55489955484041,3.594671435688,2.18164912312523,2.46516510598178,3.79521325453723,1.26279376205861,1.66014778734314,1.55273309497857,3.25193011242822,2.28980754444023,2.29711943761857,1.41451056606711,1.1007420767587,1.07418544530728,1.89709163180501,2.15554862292529,1.41034225847493,1.30221082389713,1.98126977261488,2.13534795456844,6.01482798031614
401,2.36568242980473,2.55496890288612,3.60049370382553,2.19234151977061,2.48446946078932,3.80445843931911,1.26442572576678,1.6660821362553,1.55708964661266,3.25429605684381,2.29231614714462,2.3100381637448,1.4199625231265,1.10566530946664,1.07467639294861,1.9033652954733,2.17099377496969,1.41245183327155,1.30307596887443,1.98646603761216,2.14691813667877,6.02039853486892
402,2.38298460876408,2.55520049407763,3.60684502491552,2.20382103441333,2.50478721788063,3.81424082582652,1.2680920437011,1.67319896494817,1.5626564238471,3.25670287351646,2.29577204818145,2.32352105294876,1.4261050988159,1.11143979630045,1.07518183756866,1.91113096361647,2.1862085788047,1.41410392521934,1.30541107825831,1.99342666373639,2.16057390028112,6.02712646726683
403,2.40166983457793,2.55558783554827,3.61373043595531,2.21606618933214,2.52602919348596,3.82462311791474,1.27349988096215,1.68132925112841,1.56929118681767,3.25916496890244,2.30008211162833,2.33750939617682,1.43281966025698,1.11791628289386,1.07573067054835,1.92015130654131,2.20131592270376,1.41538283190164,1.30902108152945,2.00192490650222,2.17596899282179,6.0348274874565
404,2.4215494534971,2.55612443443133,3.62115497394222,2.22905550680578,2.54810620383561,3.83566801943907,1.28035640265047,1.69030397250266,1.57685169566015,3.26169674945807,2.30515320156288,2.35194448437533,1.4399875745714,1.12494551488064,1.07635178326863,1.93018899455461,2.21643869494029,1.41637285090175,1.3137109081685,2.01173402142429,2.19275716174711,6.04331730538456
405,2.4424348117724,2.55680379786012,3.6291236758736,2.24276750911299,2.57092906515984,3.84743823425477,1.28836877386662,1.69995410677759,1.58519571051032,3.2643126216396,2.31089218206272,2.36676760849069,1.44749020888082,1.13237823789454,1.07707406711042,1.94100669796315,2.23169978378773,1.41715827980301,1.31928548765616,2.02262726401727,2.2105921545034,6.05241163099767
406,2.46413725565463,2.55761943296797,3.63764157874678,2.25718071853252,2.59440859368891,3.85999646621715,1.29724415971117,1.71011063165984,1.59418099150395,3.26702699190335,2.31720591720544,2.38192005946924,1.45520893030691,1.14006519756931,1.07792641345465,1.95236708707372,2.24722207751951,1.41782341618873,1.32554974947308,2.03437788979581,2.22912771853696,6.06192617424244
407,2.48646813139461,2.55856484688817,3.64671371955909,2.2722736573431,2.61845560565312,3.87340541918147,1.30668972528468,1.72060452485607,1.60366529877682,3.26985426670559,2.32400127106868,2.39734312825737,1.46302510597132,1.14785713953869,1.07893771368227,1.9640328321931,2.26312846440905,1.41845255764224,1.33230862309993,2.04675915427456,2.24801760129411,6.07167664506553
408,2.50923878524315,2.55963354675403,3.65634513530786,2.28802484782347,2.64298091728271,3.88772779700303,1.31641263568771,1.73126676407294,1.61350639246471,3.27280885250261,2.33118510773004,2.41297810580144,1.47082010299573,1.15560480943645,1.08013685917419,1.97576660362808,2.27954183272978,1.41913000174686,1.3393670380174,2.05954431296817,2.26691555022118,6.08147875341357
